,0,1
0,abak,abakus
1,abakus,abak
2,abc,osnove
3,abdicirati,odstopiti
4,abdikacija,odstop
5,abdomen,zadek
6,abdominalen,trebušen
7,abducirati,odmikati
8,abdukcija,odmikanje
9,abduktor,odmikalka
10,abeceden,alfabetski
11,abecedno,po abecedi
12,abhazijščina,abhazijski jezik
13,abiotičen,abiotski
14,abiotski,abiotičen
15,abisalen,globokomorski
16,abiturient,maturant
17,abiturientka,maturantka
18,ablacija,kirurška odstranitev
19,ablativ,ločilnik
20,abnormalen,nepravilen
21,abnormalno,nepravilno
22,abnormalnost,nepravilnost
23,abolicija,ukinitev
24,abolicionist,abolicionistka
25,abolicionistka,abolicionist
26,abolirati,ukiniti
27,abonent,imetnik abonmaja
28,abonentka,imetnica abonmaja
29,aboridžin,avstralska domorodka
30,aboridžinka,avstralska domorodka
31,aboridžinski,domorodski
32,abortirati,splaviti
33,abortiv,splavilo
34,abortus,splav
35,abotnost,neumnost
36,abrazija,izpraskanje
37,abraziv,abrazivno sredstvo
38,abraziven,brusilen
39,abscedirati,ognojiti se
40,absces,ognojek
41,abscisa,koordinata x
42,absentizem,odsotnost z dela
43,absint,pelinkovec
44,absolut,absolutum
45,absoluten,popoln
46,absolutist,absolutistka
47,absolutističen,absoluten
48,absolutistka,absolutist
49,absolutizem,despotizem
50,absolutum,absolut
51,absorbent,absorptivna snov
52,absorbiranje,sprejemanje
53,absorptiven,vpojen
54,absorptivnost,sposobnost absorpcije
55,abstinenca,vzdržnost
56,abstinent,nepivec
57,abstinentka,nepivka
58,abstraktizem,abstraktna umetnost
59,abstraktno,teoretično
60,abstruzen,zapleten
61,abstruznost,zapletenost
62,absurdist,absurdistka
63,absurdistka,absurdist
64,abundanca,pogostnost
65,abundanten,pogost
66,abzajl,sestop po vrvi
67,acetat,etanoat
68,acetilen,etin
69,acetilenka,acetilenska svetilka
70,acheuléen,ašelen
71,acheuléenski,ašelenski
72,acid,trip
73,aciden,kisel
74,acidifikacija,nakisanje
75,acidnost,kislost
76,acidofilen,kisloljuben
77,adaksialen,zgornji
78,adaptabilen,prilagodljiv
79,adaptabilnost,prilagodljivost
80,adaptacija,predelava
81,adaptacionist,adaptacionistka
82,adaptacionistka,adaptacionist
83,adapterka,adapter
84,adaptirati,predelati
85,addukcija,primikanje
86,adduktor,primikalka
87,adekvaten,primeren
88,adekvatno,primerno
89,adekvatnost,ustreznost
90,adenoiden,žrelničen
91,adenom,žlezna bula
92,adherenten,zraščen
93,adhezija,zarastlina
94,adhezijski,adheziven
95,adhezijskost,adhezivnost
96,adheziv,lepilo
97,adheziven,adhezijski
98,adhezivnost,adhezijskost
99,adiabaten,adiabatski
100,adiabatski,adiabaten
101,adicija,seštevanje
102,adijo,papa
103,adiktiven,zasvojitven
104,adipozen,maščoben
105,adipoznost,debelost
106,aditiv,dodatek
107,adjektiv,pridevnik
108,adjektiven,pridevniški
109,adjektivno,pridevniško
110,adjutant,pribočnik
111,adjutantka,adjutant
112,adjuvans,dodatek
113,administracijski,pisarniški
114,administracijsko,administrativno
115,administrativen,upraven
116,administratorsko,administracijsko
117,admiral,admiralka flote
118,admiralka,admiral flote
119,admiralstvo,admiraliteta
120,admitanca,polna prevodnost
121,adneks,podaljšek
122,adnominalen,obsamostalniški
123,adolescenca,mladostništvo
124,adolescent,mladostnik
125,adolescenten,mladostniški
126,adolescentka,mladostnica
127,adonis,lepotec
128,adopcija,posvojitev
129,adoptant,posvojitelj
130,adoptantka,adoptant
131,adoptiran,posvojen
132,adoptiranec,posvojenec
133,adoptirati,posvojiti
134,adoptiven,posvojitven
135,adoracija,počastitev
136,adrema,adresirni stroj
137,adrenalen,nadledvičen
138,adrenalin,vznemirjenje
139,adrenalinski,razburljiv
140,adresa,pisna spomenica
141,adresar,imenik
142,adresirati,nasloviti
143,adresograf,adrema
144,adsorbat,hladivo
145,adsorbens,adsorbent
146,adsorbent,adsorbens
147,adsorbirati,prisrkati
148,adular,mesečev kamen
149,adventist,adventistka
150,adventistka,adventist
151,adventiven,nadomesten
152,adverb,prislov
153,adverbialen,prisloven
154,adverbialno,prislovno
155,adverzativen,protiven
156,advocaat,advocat
157,advocat,advocaat
158,advokat,odvetnik
159,advokatinja,odvetnica
160,advokatka,odvetnica
161,advokatura,odvetništvo
162,aeracija,prevetritev
163,aeroavto,leteči avtomobil
164,aerob,aerobiont
165,aerobatika,akrobatsko letenje
166,aerobiont,aerob
167,aerobno,na zraku
168,aerodinamik,aerodinamičarka
169,aerodinamičarka,aerodinamik
170,aerodinamičen,aerodinamično oblikovan
171,aerodrom,letališče
172,aerofob,aerofobka
173,aerofobka,aerofob
174,aerogram,letalska zalepka
175,aeromehanika,aerometrija
176,aerometrija,aeromehanika
177,aeronavt,letalec
178,aeronavtika,letalstvo
179,aeronavtičen,letalski
180,aeronavtka,letalka
181,aeroprofil,aerodinamična površina
182,aerostat,balon
183,aerotermodinamika,termodinamika zraka
184,aerovleka,vleka jadralnega letala
185,afazija,delna izguba govora
186,afekcija,razvnetost
187,afektiran,izumetničen
188,afektirano,izumetničeno
189,afektiranost,izumetničenost
190,afektiven,emocionalen
191,afektivnost,emocionalnost
192,afgan,afgani
193,afganec,afganistanski hrt
194,afgani,afgan
195,afganistanski,afganski
196,afganski,afganistanski
197,afidavit,izjava pod prisego
198,afiks,pona
199,afiksacija,dodajanje pone
200,afiliacija,pridružitev
201,afonija,brezglasnost
202,afoničen,brez glasu
203,aforističen,aforizemski
204,aforizem,izrek
205,aforizemski,aforističen
206,afrikaans,afrikanerščina
207,afrikacija,zlitje
208,afrikanerski,afrikanski
209,afrikanerščina,afrikanščina
210,afrikanist,afrikanistka
211,afrikanistka,afrikanist
212,afrikanski,afrikanerski
213,afrikanški,afrikanerski
214,afrikanščina,afrikanerščina
215,afrikata,zlitnik
216,afrikaten,zlit
217,afro,kodrast
218,afrocentrist,afrocentristka
219,afrocentristka,afrocentrist
220,afrodiziak,spolno dražilo
221,afrodizijski,afrodizičen
222,afrodizičen,afrodizijski
223,afront,napad
224,afta,razjeda v ustih
225,aga,južnoameriška orjaška krastača
226,agapornis,ljubček
227,agar,agaragar
228,agaragar,agar
229,agencija,urad
230,agens,dejavnik
231,agentiv,vršilski sklon
232,agentiven,vršilski
233,agitatorstvo,hujskaštvo
234,agitiranje,pridobivanje glasov
235,agitirati,pridobiti glasove
236,aglomeracija,nakopičenje
237,aglomerat,skupek
238,aglomerirati,nakopičiti
239,aglutinirati,sklopiti
240,agnostik,agnostikinja
241,agnostikinja,agnostik
242,agnostikičarka,agnostik
243,agonija,trpljenje
244,agorafobija,strah pred odprtim prostorom
245,agramatikalen,slovnično nepravilen
246,agraren,kmetijski
247,agregacija,spojitev
248,agregiran,celoten
249,agresivnež,nasilnež
250,agresor,napadalec
251,agresorka,napadalka
252,agrikultura,kmetijstvo
253,agrikulturen,kmetijski
254,agrikulturno,kmetijsko
255,agrobiolog,agrarna biologinja
256,agrobiologija,agrarna biologija
257,agrobiologinja,agrarna biologinja
258,agrokemijski,agrokemičen
259,agrokemikalija,agrokemično sredstvo
260,agrokemičen,agrokemijski
261,agronom,agronomka
262,agronomka,agronom
263,agroprodukt,agroživilski proizvod
264,agrotehnika,agrotehnologija
265,agrotehnologija,agrotehnika
266,agrum,citrus
267,agrumski,citrusni
268,aguti,guti
269,ahistoričen,nezgodovinski
270,ainojski,ainujski
271,ainujski,ainojski
272,air,napev
273,airbag,zračna blazina
274,airbrush,ameriška retuša
275,ajanje,nina nana
276,akademik,akademkinja
277,akademiki,akademski svet
278,akademističen,formalističen
279,akademizem,formalizem
280,akademkinja,akademik
281,akademsko,univerzitetno
282,akademskost,neživljenjskost
283,akceleracija,pospešitev
284,akcelerator,pospeševalnik
285,akceleratorski,pospeševalen
286,akcelerirati,dodati plin
287,akcelerometer,merilnik pospeška
288,akcent,poudarek
289,akcentuacija,naglaševanje
290,akcentuacijski,naglasen
291,akcentuiran,naglašen
292,akcentuirati,naglasiti
293,akcept,akceptacija
294,akceptacija,akcept
295,akceptant,akceptantka
296,akceptantka,akceptant
297,akceptirati,sprejeti
298,akcesija,povečanje
299,akcesoren,dodaten
300,akcidentalen,nebistven
301,akcidentalist,akcidentalistka
302,akcidentalistka,akcidentalist
303,akcidentalnost,nebistvenost
304,akcidenčen,akcidentalen
305,akcijski,nasilen
306,akcioner,akcijski film
307,akciza,trošarina
308,akela,načelnica družine medvedkov in čebelic
309,aklimatizacija,prilagoditev
310,aklimatizirati,prilagoditi
311,aknavost,akne
312,akne,aknavost
313,ako,če
314,akomodacija,prilagoditev
315,akomodirati,prilagoditi se
316,akord,sozvočje
317,akordeon,koncertina
318,akordski,harmonski
319,akotudi,dasiravno
320,akrecija,zraščenost
321,akreditiran,pooblaščen
322,akreditirati,pooblastiti
323,akrescenca,porast
324,akril,akrilna barva
325,akrobacije,iskanje bližnjic
326,akrobat,akrobatka
327,akrobatika,parterna gimnastika
328,akrobatka,akrobat
329,akrofobija,strah pred višino
330,akromatičen,akromatski
331,akromatopičen,akromatičen
332,akromatski,akromatičen
333,akronim,kratica
334,aksialen,osen
335,aksilaren,pazdušen
336,aksiomatičen,nedvomen
337,aksiomatično,aksiomsko
338,aksiomsko,aksiomatično
339,aksis,pegasti jelen
340,akt,spis
341,akterji,glavni igralci
342,aktiv,tvorni način
343,aktiviran,vklopljen
344,aktivizem,delovanje
345,aktivno,dejavno
346,aktovka,diplomatski kovček
347,aktualnost,pomembnost
348,aktuar,zavarovalniška statističarka
349,aktuarka,zavarovalniška statističarka
350,akulturacija,kulturna asimilacija
351,akumulacija,nabiranje
352,akumulativen,kumulativen
353,akumulator,shranjevalnik energije
354,akumuliran,nabran
355,akumulirati,nakopičiti
356,akupunkturist,akupunkturistka
357,akupunkturistka,akupunkturist
358,akustik,akustičarka
359,akustika,zvočnost
360,akustičarka,akustik
361,akustično,zvočno
362,akut,ostrivec
363,akuten,pereč
364,akutiran,rastoč
365,akutnost,težavnost
366,akuzativ,tožilnik
367,akuzativen,tožilniški
368,akuzatoren,obtožen
369,akvakultura,gojenje vodnih rastlin in živali
370,akvamarinski,zelenkasto moder
371,akvanavt,akvanavtinja
372,akvanavtinja,akvanavt
373,akvarelist,akvarelistka
374,akvarelistka,akvarelist
375,akvarij,steklena posoda
376,akvavit,paljenka
377,akviriranje,pridobivanje naročnikov
378,akvirirati,pridobiti naročila
379,akviziter,prodajalec od vrat do vrat
380,akviziterka,akviziter
381,akviziterstvo,prodaja po hišah
382,alarm,preplah
383,alarmirati,opozoriti
384,albin,beličnik
385,albinizem,beličnost
386,albinka,albin
387,albulid,bela lisica
388,ale,angleško pivo
389,alegorija,prispodoba
390,alegorik,alegoričarka
391,alegorizirati,prikazati v prispodobi
392,alegoričarka,alegorik
393,alegoričen,prispodoben
394,alegorično,kot prispodoba
395,alegoričnost,monumentalnost
396,aleja,drevored
397,aleksija,besedna slepota
398,alergen,alergenski
399,alergenski,alergen
400,alergolog,alergologinja
401,alergologinja,alergolog
402,alfabetiranje,urejanje po abecedi
403,alfabetirati,urediti po abecedi
404,alfabetski,abeceden
405,alfalfa,lucerna
406,algast,poln alg
407,algebraik,algebraičarka
408,algebraičarka,algebraik
409,algebraičen,algebrajski
410,algebraično,algebrajsko
411,algebrajski,algebraičen
412,algebrajsko,algebraično
413,algebrski,algebrajski
414,algebrsko,algebraično
415,algoritemski,algoritmičen
416,algoritmičen,algoritemski
417,alibi,izgovor
418,alienacija,odtujenost
419,alieniran,odtujen
420,alienist,alienistka
421,alienistka,alienist
422,alikvoten,enak
423,alimentacija,preživnina
424,alimenti,preživnina
425,alinea,alineja
426,alineja,alinea
427,aliteracija,soglasniški stik
428,alitirati,alumetirati
429,alkalen,bazičen
430,alkalija,baza
431,alkalnost,bazičnost
432,alkan,parafin
433,alken,olefin
434,alkimist,alkimistka
435,alkimistka,alkimist
436,alkiona,vodomec
437,alko,alkohol
438,alkohol,pijača
439,alkoholik,pijanec
440,alkoholizem,zapitost
441,alkoholičarka,pijanka
442,alkova,niša
443,almanah,letopis
444,alofon,glasovna varianta
445,alograf,črkovna varianta
446,alohton,tujeroden
447,alomorf,morfemska varianta
448,alopecija,plešavost
449,alotrop,polimorf
450,alpinist,gornik
451,alpinistka,gornica
452,alpinizem,planinarjenje
453,alpinski,alpski
454,alt,kontraalt
455,alternativa,druga možnost
456,alternator,generator izmeničnega toka
457,alternirati,izmenjavati se
458,altist,alt
459,altistka,alt
460,altovski,kontraaltovski
461,altruist,nesebičnež
462,altruističen,nesebičen
463,altruistka,nesebičnica
464,altruizem,nesebičnost
465,altsaksofon,altovski saksofon
466,aludirati,namigniti
467,alufolija,aluminijasta folija
468,alumetirati,alitirati
469,aluvialen,naplaven
470,aluvij,naplavina
471,aluzija,namig
472,aluziven,namigujoč
473,aluzivno,namigujoče
474,alveol,zobna jamica
475,alveolar,dlesničnik
476,amalgamirati,tvoriti amalgam
477,amandma,dopolnilo
478,amanuensis,pomočnica
479,amarant,ščir
480,amarilis,viteška zvezda
481,amaro,grenčinec
482,amater,ljubitelj
483,amaterka,ljubiteljica
484,amatersko,nestrokovno
485,ambasada,veleposlaništvo
486,ambasador,predstavnik
487,ambasadorka,predstavnica
488,ambasadorski,veleposlaniški
489,ambicija,želja
490,ambicioznež,nadobudnež
491,ambiciozno,velikopotezno
492,ambicioznost,podjetnost
493,ambideksteren,obojeročen
494,ambidekstrizem,obojeročnost
495,ambient,ozračje
496,ambivalenca,mešani občutki
497,ambrozija,žvrklja
498,ambulanten,potujoč
499,ameba,menjačica
500,ameriški,vseameriški
501,ametisten,ametistov
502,ametistov,ametisten
503,amfetamini,poživila
504,amfibijski,dvoživen
505,amfibol,rogovača
506,amfiteater,arena
507,amikt,humeral
508,amilaza,diastaza
509,ammoniacum,oleogumi smola
510,amnestija,pomilostitev
511,amnestirati,podeliti amnestijo
512,amnezija,fuga
513,amniocenteza,pregled plodne tekočine
514,amnionski,amniotičen
515,amniotičen,amnionski
516,amok,besnilo
517,amor,amorček
518,amoralist,amoralistka
519,amoralistka,amoralist
520,amoralnež,amoralist
521,amorfen,brezobličen
522,amorfnost,brezobličnost
523,amortizer,blažilnik
524,amortizirati,odpisati vrednost
525,amorček,amor
526,amplifikacija,pomnoževanje
527,ampula,steklenička
528,amputiranec,amputiranka
529,amputiranka,amputiranec
530,amputirati,odrezati
531,amulet,talisman
532,anabaptist,prekrščevalec
533,anabaptističen,anabaptistovski
534,anabaptistka,prekrščevalec
535,anabaptistovski,anabaptističen
536,anabaptizem,prekrščevalstvo
537,anabolik,anabolni steroid
538,anaerob,anaerobiont
539,anaerobiont,anaerob
540,anafora,povzdigovanje
541,anaglif,anaglifna karta
542,anagram,premetanka
543,analfabet,nepismen človek
544,analfabetka,nepismen človek
545,analgetik,sredstvo proti bolečinam
546,analgetičen,proti bolečinam
547,anali,letopis
548,analist,letopisec
549,analistka,letopiska
550,analitik,analizator
551,analitično,razčlenjevalno
552,analizator,analitik
553,analizatorka,analizator
554,analogen,soroden
555,analogija,podobnost
556,analogizirati,analogno sklepati
557,analogičen,analogen
558,analogno,sorodno
559,analognost,podobnost
560,anarhija,brezzakonje
561,anarhist,anarhistka
562,anarhistka,anarhist
563,anarhičen,brez zakonov
564,anastigmatičen,stigmatičen
565,anatemizirati,izobčiti
566,anato,biksa
567,anatom,anatomka
568,anatomija,telesna zgradba
569,anatomka,anatom
570,andaluzijski,andaluški
571,andaluški,andaluzijski
572,androgin,dvospolnik
573,androginija,dvospolnost
574,androginičen,androginski
575,androginski,androginičen
576,anekdota,prigoda
577,anekdoten,anekdotičen
578,anekdotičen,anekdotski
579,anekdotično,anekdotsko
580,anekdotski,anekdotičen
581,anekdotsko,anekdotično
582,aneks,dodatek
583,aneksija,priključitev
584,anektirati,priključiti
585,anemija,slabokrvnost
586,anemičen,slabokrven
587,anemometer,merilnik hitrosti vetra
588,anemona,vetrnica
589,aneroid,kovinski barometer
590,anestetik,uspavalo
591,anestezija,omrtvičenje
592,anesteziolog,anesteziologinja
593,anesteziologinja,anesteziolog
594,anestezirati,omrtvičiti
595,anevrizma,bolezenska razširitev arterije
596,angažiran,predan
597,angažiranje,posvečanje
598,angažirano,oznanjevalno
599,angažiranost,predanost
600,angažirati,najeti
601,angažma,najetje
602,angeli,angelski zbor
603,angelika,gozdni koren
604,angelski,serafinski
605,angelsko,serafinsko
606,angelus,angelovo čaščenje
607,angiografija,slikanje ožilja
608,anglicizem,anglizem
609,anglikanec,anglikanka
610,anglikanizem,anglikanstvo
611,anglikanka,anglikanec
612,anglikanstvo,anglikanizem
613,anglist,anglistka
614,anglistka,anglist
615,anglizacija,poangleženje
616,anglizem,anglicizem
617,anglizirati,poangležiti
618,anglofil,anglofilka
619,anglofilija,anglofilstvo
620,anglofilka,anglofil
621,anglofilstvo,anglofilija
622,anglofob,anglofobka
623,anglofobka,anglofob
624,anglofon,angleško govoreči
625,anglofonski,angleško govoreč
626,anglokatolik,anglokatoličanka
627,anglokatoličanka,anglokatolik
628,anglosaščina,stara angleščina
629,angst,tesnoba
630,anhidriden,brezvoden
631,anima,duša
632,animalističen,animaličen
633,animaličen,animalističen
634,animaličnost,animalnost
635,animalnost,animaličnost
636,animator,poživljevalec
637,animatorka,poživljevalka
638,animatronika,elektronska animacija
639,animiran,razgiban
640,animiranje,poživitev
641,animirati,razgibati
642,animist,animistka
643,animistka,animist
644,anje,pihanje
645,anketa,raziskava javnega mnenja
646,anketar,raziskovalec javnega mnenja
647,anketarka,anketar
648,anketiranec,respondent
649,anketiranka,izpraševanka
650,ankh,egipčanski križ
651,ankiloza,otrdelost sklepa
652,anomalen,nepravilen
653,anomalija,nepravilnost
654,anomalno,anormalno
655,anomalnost,anomalija
656,anonimen,brezimen
657,anonimnež,brezimnež
658,anonimnica,brezimnica
659,anonimno,brezimno
660,anorak,vetrovka
661,anoreksija,duševna anoreksija
662,anoreksik,anoreksičarka
663,anoreksičarka,anoreksik
664,anorganski,neorganski
665,anormalen,nepravilen
666,anormalno,anomalno
667,anotacija,opomba
668,anozmija,izguba voha
669,ansambel,skupina
670,antacid,nevtralizator kislin
671,antagonist,nasprotnik
672,antagonističen,nasprotno delujoč
673,antagonistično,nasprotno delujoče
674,antagonistka,nasprotnica
675,antedatirati,pripisati zgodnejšemu obdobju
676,antena,pipalka
677,antera,prašnica
678,anterioren,prednji
679,anteriornost,prednjost
680,anthem,himna
681,anti,kontra
682,antialergijski,protialergijski
683,antiavtoritaren,protioblastniški
684,antibakterialen,antibakterijski
685,antibakterijski,antibakterialen
686,anticiklon,območje visokega zračnega pritiska
687,anticipirati,predvideti
688,antidepresiv,zdravilo proti depresiji
689,antidetonator,dodatek gorivu proti klenkanju
690,antidot,protisredstvo
691,antiemetik,sredstvo proti bruhanju
692,antiemetičen,proti bruhanju
693,antiepileptik,antikonvulziv
694,antiflogistik,protivnetno zdravilo
695,antiflogističen,antiinflamatoren
696,antifona,odpev
697,antifrikcijski,proti trenju
698,antifriz,sredstvo za odtajevanje
699,antigravitacija,protitežnost
700,antigravitacijski,protitežnosten
701,antiinflacijski,protiinflacijski
702,antiinflamatoren,antiflogističen
703,antijunak,protijunak
704,antika,antikviteta
705,antiklerikalec,antiklerikalka
706,antiklerikalka,antiklerikalec
707,antiklimaks,razočaranje
708,antiklinala,izbočena guba
709,antikoagulans,antikoagulant
710,antikoagulant,antikoagulans
711,antikoagulanten,proti strjevanju krvi
712,antikonvulziv,antiepileptik
713,antikorozijski,zoper rjo
714,antikoroziv,antikorozijsko sredstvo
715,antikrist,brezbožnik
716,antikvar,starinar
717,antikvariat,antikvarnica
718,antikvaričen,antikvaren
719,antikvarka,starinarka
720,antikvarnica,antikvariat
721,antikvarstvo,starinarstvo
722,antikviran,obsoleten
723,antikviteta,starina
724,antilogaritem,numerus
725,antimagneten,antimagnetičen
726,antimagnetičen,antimagneten
727,antimalarik,zdravilo proti malariji
728,antimalaričen,proti malariji
729,antimaterija,antisnov
730,antipatija,odpor
731,antipatičen,zoprn
732,antiperspirant,sredstvo proti potenju
733,antipiretik,sredstvo za zbijanje vročine
734,antipod,diametralno nasprotje
735,antipoden,diametralno nasproten
736,antipodi,protinožci
737,antipodski,diametralno nasproten
738,antirasist,antirasistka
739,antirasističen,protirasističen
740,antirasistka,antirasist
741,antirasizem,protirasistična politika
742,antirefleksen,protiodbojen
743,antireligiozen,protiverski
744,antisegregacionist,antisegregacionistka
745,antisegregacionističen,proti rasnemu razlikovanju
746,antisegregacionistka,antisegregacionist
747,antisemit,nasprotnik Judov
748,antisemitinja,antisemit
749,antisemitizem,protijudovstvo
750,antisemitski,protijudovski
751,antiseptik,razkužilo
752,antiseptičen,razkužilen
753,antisnov,antimaterija
754,antisocialen,protidružben
755,antitetičen,nasproten
756,antitetično,nasprotujoče
757,antiteza,popolno nasprotje
758,antitrustovski,protimonopolen
759,antiumetnost,neumetnost
760,antivivisekcijski,proti vivisekciji
761,antivivisekcionist,antivivisekcionistka
762,antivivisekcionistka,antivivisekcionist
763,antologija,antologijska izdaja
764,antonim,protipomenka
765,antoninski,Antoninov
766,antracit,črni premog
767,antraks,vranični prisad
768,antropofag,kanibal
769,antropofagija,kanibalizem
770,antropogen,nenaraven
771,antropoid,človeku sorodna opica
772,antropoiden,podoben človeku
773,antropolog,antropologinja
774,antropologija,znanost o človeku
775,antropologinja,antropolog
776,antropomorf,antropoid
777,antropomorfističen,antropomorfičen
778,antropomorfizacija,antropomorfizem
779,antropomorfizem,antropomorfizacija
780,antropomorfizirati,prisojati človeške lastnosti
781,antropomorfičen,antropomorfen
782,antropozofičen,antropozofski
783,antropozofski,antropozofičen
784,anuiteta,letnina
785,anulacija,razveljavitev
786,anuliranje,razveljavitev
787,anulirati,razveljaviti
788,anus,ritnik
789,anšlus,priključitev
790,anžujski,anžuvinski
791,anžuvinski,anžujski
792,aorta,vélika odvodnica
793,aparati,oprema
794,aparatura,aparat
795,aparatčik,partijska birokratinja
796,apart,aparté
797,apartmajski,z apartmaji
798,aparté,apart
799,apatija,otopelost
800,apatično,ravnodušno
801,apatičnost,ravnodušnost
802,apatridstvo,življenje brez državljanjstva
803,apeliranje,apel
804,apelirati,pozvati
805,apendicitis,vnetje slepiča
806,apendiks,dodatek
807,aperioden,aperiodičen
808,aperiodičen,aperioden
809,apetiten,mikaven
810,apetiti,apetit
811,apikultura,čebelarjenje
812,apireksija,stanje brez vročine
813,apiretičen,brez vročine
814,aplavdirati,ploskati
815,aplavz,ploskanje
816,aplicirati,uveljaviti
817,aplika,aplikacija
818,aplikativen,uporaben
819,aplikativnost,uporabnost
820,aplikator,nanašalec
821,aplomb,odločnost
822,apneja,zastoj dihanja
823,apnenica,peč za žganje apna
824,apnica,apnena voda
825,apno,belež
826,apoen,enota vrednosti
827,apoftegma,vodilo
828,apogej,odzemlje
829,apokalipsa,popolno uničenje
830,apokopirati,opuščati končni glas
831,apokrifen,nepristen
832,apokrifi,apokrifni spisi
833,apoliničen,skladen
834,apologet,branilec
835,apologetičen,apologetski
836,apologetično,apologetsko
837,apologetski,apologetičen
838,apologetsko,apologetično
839,apologija,obramba
840,apopleksija,možganska kap
841,apoplektik,apoplektičarka
842,apoplektičarka,apoplektik
843,apostat,odpadnik
844,apostatinja,apostat
845,apostatičen,odpadniški
846,apostatstvo,apostazija
847,apostazija,apostatstvo
848,apostazirati,odpasti
849,aposteriorno,izkustveno
850,apostol,učenec
851,apostrofa,nagovor
852,apostrofirati,posebej poudariti
853,apotekar,lekarnar
854,apotekarica,lekarnarka
855,apozicija,pristavek
856,apreciacija,dvig tečaja
857,apreterka,apreter
858,apretirati,plemenititi
859,aprioren,a priori
860,apriorno,a priori
861,aproksimacija,približek
862,aproksimirati,določiti približek
863,arabist,arabistka
864,arabistka,arabist
865,arabizirati,poarabiti
866,arahnofob,arahnofobka
867,arahnofobija,strah pred pajki
868,arahnofobka,arahnofob
869,arak,riževo žganje
870,aranžer,glasbena aranžerka
871,aranžerka,glasbeni aranžer
872,aranžirati,prirediti
873,aravaščina,aravaški jezik
874,aravkanščina,aravkanski jezik
875,arašid,kikiriki
876,arbiter,razsodnik
877,arbitrarnost,poljubnost
878,arbitražer,arbitražerka
879,arbitražerka,arbitražer
880,arbitriranje,razsojanje
881,arborealen,drevesen
882,arboretum,učni vrt
883,arborikultura,drevesničarstvo
884,arborikulturen,drevesničarski
885,arbutus,jagodičnica
886,area,predel
887,arena,amfiteater
888,areola,bradavični kolobar
889,areometer,denzimeter
890,arest,keha
891,arestant,zapornik
892,arestantka,zapornica
893,aretacija,prijetje
894,aretator,del za aretacijo
895,aretiranec,aretirana oseba
896,aretiranka,aretirana oseba
897,aretirati,prijeti
898,argo,argot
899,argot,argo
900,argumentacija,utemeljevanje
901,argumentativen,utemeljevalen
902,argumenti,zadeve
903,argumentirati,utemeljevati
904,arhaično,preživeto
905,arhaičnost,starodavnost
906,arhaiški,arhaičen
907,arhangel,nadangel
908,arheobotanik,arheobotaničarka
909,arheobotaničarka,arheobotanik
910,arheolog,starinoslovec
911,arheologija,starinoslovje
912,arheologinja,starinokop
913,arheološki,starinoslovski
914,arheozoolog,arheozoologinja
915,arheozoologinja,arheozoolog
916,arhetip,prapodoba
917,arhetipen,arhetipski
918,arhetipno,arhetipsko
919,arhetipski,arhetipen
920,arhetipsko,arhetipno
921,arhipel,arhipelag
922,arhipelag,arhipel
923,arhitekten,arhitekturen
924,arhitektno,arhitekturno
925,arhitektoničen,arhitektonski
926,arhitektonski,arhitektoničen
927,arhitektura,zgradba
928,arhitekturen,arhitekten
929,arhitekturno,arhitektno
930,arhitrav,epistilion
931,arhivi,arhiv
932,arhiviranje,izpis
933,arhivirati,odložiti
934,arianizem,arijanstvo
935,arija,napev
936,arijanec,arijanka
937,arijanizem,arijanstvo
938,arijanka,arijanec
939,arijanstvo,arianizem
940,arijec,arijka
941,arijka,arijec
942,arijščina,arijski jezik
943,aristokracija,plemstvo
944,aristokrat,plemič
945,aristokratinja,plemkinja
946,aristokratka,aristokratinja
947,aristokratski,plemiški
948,aristokratsko,plemiško
949,aristokratskost,plemiškost
950,aristotelik,aristoteličarka
951,aristoteličarka,aristotelik
952,aristoteličen,aristotelovski
953,aristotelovski,aristoteličen
954,aritmetik,aritmetikarica
955,aritmetika,računstvo
956,aritmetikarica,aritmetik
957,aritmetičen,računski
958,aritmija,motnja srčnega ritma
959,aritmičen,neenakomeren
960,arkadast,arkaden
961,arkaden,arkadast
962,arkadija,idiličnost
963,arkadijski,idiličen
964,arkadijskost,mirno podeželsko življenje
965,arktičen,polaren
966,armafleks,ležalna blazina
967,armagnac,armanjak
968,armanjak,armagnac
969,arminijanec,arminijanka
970,arminijanka,arminijanec
971,armiran,prednapet
972,armirati,prednapeti
973,aroganca,ošabnost
974,aromat,aromatik
975,aromaterapevt,aromaterapevtka
976,aromaterapevtka,aromaterapevt
977,aromatik,aromat
978,aromatiziran,z dodanim okusom
979,aromatizirati,dati aromo
980,aromatski,aromatičen
981,arpeggio,razloženi akord
982,artefakt,umeten izdelek
983,arterija,odvodnica
984,arterijski,glaven
985,artikli,blago
986,artikulacijski,izgovoren
987,artikuliran,elokventen
988,artikulirano,razumljivo
989,artilerija,topništvo
990,artilerist,topničar
991,artileristka,artilerist
992,artralgija,bolečina v sklepu
993,artritis,vnetje sklepov
994,artropod,členar
995,arturijanski,arturovski
996,arturovski,arturijanski
997,arzenal,orožarna
998,arzenov,arzenovV
999,asam,asamski čaj
1000,asami,asamski jezik
1001,asamščina,asami
1002,asasin,hašišin
1003,ascendenca,predništvo
1004,ascendent,ascendentka
1005,ascendentka,ascendent
1006,ascendirati,vzpenjati se
1007,asepsa,aseptično stanje
1008,aseptičen,brezkužen
