,0,1
6301,geodet,zemljemerec
6302,geodeti,skupina geodetov
6303,geodetinja,geometrinja
6304,geodetka,svetovnica
6305,geodetski,zemljemerski
6306,geodezija,zemljemerstvo
6307,geofizik,geofizičarka
6308,geofizičarka,geofizik
6309,geograf,zemljepisec
6310,geografija,zemljepis
6311,geografinja,zemljepiska
6312,geografski,zemljepisen
6313,geografsko,zemljepisno
6314,geohidrolog,geohidrologinja
6315,geohidrologinja,geohidrolog
6316,geokemijski,geokemičen
6317,geokemik,geokemičarka
6318,geokemičarka,geokemik
6319,geokemičen,geokemijski
6320,geokronolog,geokronologinja
6321,geokronologinja,geokronolog
6322,geomagnetizem,zemeljski magnetizem
6323,geomantija,geomantika
6324,geomantika,geomantija
6325,geometer,zemljemerec
6326,geometrijski,geometričen
6327,geometrijsko,geometrično
6328,geometrinja,zemljemerka
6329,geometričen,geometrijski
6330,geometrično,geometrijsko
6331,geomorfogeneza,genetska fiziografija
6332,geomorfolog,geomorfologinja
6333,geomorfologinja,geomorfolog
6334,geopolaren,tečajen
6335,geopolitik,geopolitičarka
6336,geopolitičarka,geopolitik
6337,geosfera,litosfera
6338,geostrofičen,geostrofski
6339,geostrofski,geostrofičen
6340,geotehničen,geotehniški
6341,geotehniški,geotehničen
6342,geotermalen,geotermičen
6343,geotermičen,geotermalen
6344,geoznanost,veda o Zemlji
6345,geoznanstvenica,geoznanstvenik
6346,geoznanstvenik,geoznanstvenica
6347,geranija,pelargonija
6348,geriater,geriatrinja
6349,geriatrinja,geriater
6350,germanizacija,ponemčenje
6351,germanizirati,ponemčiti
6352,germanofil,germanofilka
6353,germanofilka,germanofil
6354,germanofob,germanofobinja
6355,germanofobinja,germanofob
6356,germanski,starogermanski
6357,germanščina,tevtonščina
6358,germinativen,kaliv
6359,gerontokrat,gerontokratka
6360,gerontokratka,gerontokrat
6361,gerontolog,gerontologinja
6362,gerontologinja,gerontolog
6363,gerundij,glagolnik
6364,gerundijski,glagolniški
6365,gerundiv,glagolski pridevnik
6366,gesso,mavčna slikarska podloga
6367,gesta,dejanje
6368,gestalt,celota
6369,gestaltist,gestaltistka
6370,gestaltistka,gestaltist
